name,mpg,displacement,horsepower,weight,acceleration,year,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_1,origin_2,origin_3
chevrolet impala,11.0,400.0,150,4997,14.0,73,False,False,False,True,True,False,False
ford country,12.0,400.0,167,4906,12.5,73,False,False,False,True,True,False,False
plymouth custom suburb,13.0,360.0,170,4654,13.0,73,False,False,False,True,True,False,False
oldsmobile vista cruiser,12.0,350.0,180,4499,12.5,73,False,False,False,True,True,False,False
amc gremlin,18.0,232.0,100,2789,15.0,73,False,False,True,False,True,False,False
toyota carina,20.0,97.0,88,2279,19.0,73,True,False,False,False,False,False,True
chevrolet vega,21.0,140.0,72,2401,19.5,73,True,False,False,False,True,False,False
datsun 610,22.0,108.0,94,2379,16.5,73,True,False,False,False,False,False,True
ford pinto,19.0,122.0,85,2310,18.5,73,True,False,False,False,True,False,False
mercury capri v6,21.0,155.0,107,2472,14.0,73,False,False,True,False,True,False,False
fiat 124 sport coupe,26.0,98.0,90,2265,15.5,73,True,False,False,False,False,True,False
chevrolet monte carlo s,15.0,350.0,145,4082,13.0,73,False,False,False,True,True,False,False
fiat 128,29.0,68.0,49,1867,19.5,73,True,False,False,False,False,True,False
opel manta,24.0,116.0,75,2158,15.5,73,True,False,False,False,False,True,False
audi 100ls,20.0,114.0,91,2582,14.0,73,True,False,False,False,False,True,False
volvo 144ea,19.0,121.0,112,2868,15.5,73,True,False,False,False,False,True,False
dodge dart custom,15.0,318.0,150,3399,11.0,73,False,False,False,True,True,False,False
saab 99le,24.0,121.0,110,2660,14.0,73,True,False,False,False,False,True,False
toyota mark ii,20.0,156.0,122,2807,13.5,73,False,False,True,False,False,False,True
oldsmobile omega,11.0,350.0,180,3664,11.0,73,False,False,False,True,True,False,False
plymouth duster,20.0,198.0,95,3102,16.5,74,False,False,True,False,True,False,False
amc hornet,19.0,232.0,100,2901,16.0,74,False,False,True,False,True,False,False
chevrolet nova,15.0,250.0,100,3336,17.0,74,False,False,True,False,True,False,False
datsun b210,31.0,79.0,67,1950,19.0,74,True,False,False,False,False,False,True
ford pinto,26.0,122.0,80,2451,16.5,74,True,False,False,False,True,False,False
toyota corolla 1200,32.0,71.0,65,1836,21.0,74,True,False,False,False,False,False,True
chevrolet vega,25.0,140.0,75,2542,17.0,74,True,False,False,False,True,False,False
chevrolet chevelle malibu classic,16.0,250.0,100,3781,17.0,74,False,False,True,False,True,False,False
amc matador,16.0,258.0,110,3632,18.0,74,False,False,True,False,True,False,False
plymouth satellite sebring,18.0,225.0,105,3613,16.5,74,False,False,True,False,True,False,False
ford gran torino,16.0,302.0,140,4141,14.0,74,False,False,False,True,True,False,False
buick century luxus (sw),13.0,350.0,150,4699,14.5,74,False,False,False,True,True,False,False
dodge coronet custom (sw),14.0,318.0,150,4457,13.5,74,False,False,False,True,True,False,False
ford gran torino (sw),14.0,302.0,140,4638,16.0,74,False,False,False,True,True,False,False
amc matador (sw),14.0,304.0,150,4257,15.5,74,False,False,False,True,True,False,False
audi fox,29.0,98.0,83,2219,16.5,74,True,False,False,False,False,True,False
volkswagen dasher,26.0,79.0,67,1963,15.5,74,True,False,False,False,False,True,False
opel manta,26.0,97.0,78,2300,14.5,74,True,False,False,False,False,True,False
toyota corona,31.0,76.0,52,1649,16.5,74,True,False,False,False,False,False,True
datsun 710,32.0,83.0,61,2003,19.0,74,True,False,False,False,False,False,True
dodge colt,28.0,90.0,75,2125,14.5,74,True,False,False,False,True,False,False
fiat 128,24.0,90.0,75,2108,15.5,74,True,False,False,False,False,True,False
fiat 124 tc,26.0,116.0,75,2246,14.0,74,True,False,False,False,False,True,False
honda civic,24.0,120.0,97,2489,15.0,74,True,False,False,False,False,False,True
subaru,26.0,108.0,93,2391,15.5,74,True,False,False,False,False,False,True
fiat x1.9,31.0,79.0,67,2000,16.0,74,True,False,False,False,False,True,False
plymouth valiant custom,19.0,225.0,95,3264,16.0,75,False,False,True,False,True,False,False
chevrolet nova,18.0,250.0,105,3459,16.0,75,False,False,True,False,True,False,False
mercury monarch,15.0,250.0,72,3432,21.0,75,False,False,True,False,True,False,False
ford maverick,15.0,250.0,72,3158,19.5,75,False,False,True,False,True,False,False
pontiac catalina,16.0,400.0,170,4668,11.5,75,False,False,False,True,True,False,False
chevrolet bel air,15.0,350.0,145,4440,14.0,75,False,False,False,True,True,False,False
plymouth grand fury,16.0,318.0,150,4498,14.5,75,False,False,False,True,True,False,False
ford ltd,14.0,351.0,148,4657,13.5,75,False,False,False,True,True,False,False
buick century,17.0,231.0,110,3907,21.0,75,False,False,True,False,True,False,False
chevroelt chevelle malibu,16.0,250.0,105,3897,18.5,75,False,False,True,False,True,False,False
amc matador,15.0,258.0,110,3730,19.0,75,False,False,True,False,True,False,False
plymouth fury,18.0,225.0,95,3785,19.0,75,False,False,True,False,True,False,False
buick skyhawk,21.0,231.0,110,3039,15.0,75,False,False,True,False,True,False,False
chevrolet monza 2+2,20.0,262.0,110,3221,13.5,75,False,False,False,True,True,False,False
ford mustang ii,13.0,302.0,129,3169,12.0,75,False,False,False,True,True,False,False
toyota corolla,29.0,97.0,75,2171,16.0,75,True,False,False,False,False,False,True
ford pinto,23.0,140.0,83,2639,17.0,75,True,False,False,False,True,False,False
amc gremlin,20.0,232.0,100,2914,16.0,75,False,False,True,False,True,False,False
pontiac astro,23.0,140.0,78,2592,18.5,75,True,False,False,False,True,False,False
toyota corona,24.0,134.0,96,2702,13.5,75,True,False,False,False,False,False,True
volkswagen dasher,25.0,90.0,71,2223,16.5,75,True,False,False,False,False,True,False
datsun 710,24.0,119.0,97,2545,17.0,75,True,False,False,False,False,False,True
ford pinto,18.0,171.0,97,2984,14.5,75,False,False,True,False,True,False,False
volkswagen rabbit,29.0,90.0,70,1937,14.0,75,True,False,False,False,False,True,False
amc pacer,19.0,232.0,90,3211,17.0,75,False,False,True,False,True,False,False
audi 100ls,23.0,115.0,95,2694,15.0,75,True,False,False,False,False,True,False
peugeot 504,23.0,120.0,88,2957,17.0,75,True,False,False,False,False,True,False
volvo 244dl,22.0,121.0,98,2945,14.5,75,True,False,False,False,False,True,False
saab 99le,25.0,121.0,115,2671,13.5,75,True,False,False,False,False,True,False
honda civic cvcc,33.0,91.0,53,1795,17.5,75,True,False,False,False,False,False,True
fiat 131,28.0,107.0,86,2464,15.5,76,True,False,False,False,False,True,False
opel 1900,25.0,116.0,81,2220,16.9,76,True,False,False,False,False,True,False
capri ii,25.0,140.0,92,2572,14.9,76,True,False,False,False,True,False,False
dodge colt,26.0,98.0,79,2255,17.7,76,True,False,False,False,True,False,False
renault 12tl,27.0,101.0,83,2202,15.3,76,True,False,False,False,False,True,False
chevrolet chevelle malibu classic,17.5,305.0,140,4215,13.0,76,False,False,False,True,True,False,False
dodge coronet brougham,16.0,318.0,150,4190,13.0,76,False,False,False,True,True,False,False
amc matador,15.5,304.0,120,3962,13.9,76,False,False,False,True,True,False,False
ford gran torino,14.5,351.0,152,4215,12.8,76,False,False,False,True,True,False,False
plymouth valiant,22.0,225.0,100,3233,15.4,76,False,False,True,False,True,False,False
chevrolet nova,22.0,250.0,105,3353,14.5,76,False,False,True,False,True,False,False
ford maverick,24.0,200.0,81,3012,17.6,76,False,False,True,False,True,False,False
amc hornet,22.5,232.0,90,3085,17.6,76,False,False,True,False,True,False,False
chevrolet chevette,29.0,85.0,52,2035,22.2,76,True,False,False,False,True,False,False
chevrolet woody,24.5,98.0,60,2164,22.1,76,True,False,False,False,True,False,False
vw rabbit,29.0,90.0,70,1937,14.2,76,True,False,False,False,False,True,False
honda civic,33.0,91.0,53,1795,17.4,76,True,False,False,False,False,False,True
dodge aspen se,20.0,225.0,100,3651,17.7,76,False,False,True,False,True,False,False
ford granada ghia,18.0,250.0,78,3574,21.0,76,False,False,True,False,True,False,False
pontiac ventura sj,18.5,250.0,110,3645,16.2,76,False,False,True,False,True,False,False
amc pacer d/l,17.5,258.0,95,3193,17.8,76,False,False,True,False,True,False,False
volkswagen rabbit,29.5,97.0,71,1825,12.2,76,True,False,False,False,False,True,False
datsun b-210,32.0,85.0,70,1990,17.0,76,True,False,False,False,False,False,True
toyota corolla,28.0,97.0,75,2155,16.4,76,True,False,False,False,False,False,True
ford pinto,26.5,140.0,72,2565,13.6,76,True,False,False,False,True,False,False
volvo 245,20.0,130.0,102,3150,15.7,76,True,False,False,False,False,True,False
plymouth volare premier v8,13.0,318.0,150,3940,13.2,76,False,False,False,True,True,False,False
peugeot 504,19.0,120.0,88,3270,21.9,76,True,False,False,False,False,True,False
toyota mark ii,19.0,156.0,108,2930,15.5,76,False,False,True,False,False,False,True
cadillac seville,16.5,350.0,180,4380,12.1,76,False,False,False,True,True,False,False
chevy c10,13.0,350.0,145,4055,12.0,76,False,False,False,True,True,False,False
ford f108,13.0,302.0,130,3870,15.0,76,False,False,False,True,True,False,False
dodge d100,13.0,318.0,150,3755,14.0,76,False,False,False,True,True,False,False
honda accord cvcc,31.5,98.0,68,2045,18.5,77,True,False,False,False,False,False,True
buick opel isuzu deluxe,30.0,111.0,80,2155,14.8,77,True,False,False,False,True,False,False
renault 5 gtl,36.0,79.0,58,1825,18.6,77,True,False,False,False,False,True,False
plymouth arrow gs,25.5,122.0,96,2300,15.5,77,True,False,False,False,True,False,False
datsun f-10 hatchback,33.5,85.0,70,1945,16.8,77,True,False,False,False,False,False,True
chevrolet caprice classic,17.5,305.0,145,3880,12.5,77,False,False,False,True,True,False,False
dodge monaco brougham,15.5,318.0,145,4140,13.7,77,False,False,False,True,True,False,False
mercury cougar brougham,15.0,302.0,130,4295,14.9,77,False,False,False,True,True,False,False
chevrolet concours,17.5,250.0,110,3520,16.4,77,False,False,True,False,True,False,False
buick skylark,20.5,231.0,105,3425,16.9,77,False,False,True,False,True,False,False
plymouth volare custom,19.0,225.0,100,3630,17.7,77,False,False,True,False,True,False,False
ford granada,18.5,250.0,98,3525,19.0,77,False,False,True,False,True,False,False
pontiac grand prix lj,16.0,400.0,180,4220,11.1,77,False,False,False,True,True,False,False
chevrolet monte carlo landau,15.5,350.0,170,4165,11.4,77,False,False,False,True,True,False,False
chrysler cordoba,15.5,400.0,190,4325,12.2,77,False,False,False,True,True,False,False
ford thunderbird,16.0,351.0,149,4335,14.5,77,False,False,False,True,True,False,False
volkswagen rabbit custom,29.0,97.0,78,1940,14.5,77,True,False,False,False,False,True,False
pontiac sunbird coupe,24.5,151.0,88,2740,16.0,77,True,False,False,False,True,False,False
toyota corolla liftback,26.0,97.0,75,2265,18.2,77,True,False,False,False,False,False,True
ford mustang ii 2+2,25.5,140.0,89,2755,15.8,77,True,False,False,False,True,False,False
chevrolet chevette,30.5,98.0,63,2051,17.0,77,True,False,False,False,True,False,False
dodge colt m/m,33.5,98.0,83,2075,15.9,77,True,False,False,False,True,False,False
subaru dl,30.0,97.0,67,1985,16.4,77,True,False,False,False,False,False,True
volkswagen dasher,30.5,97.0,78,2190,14.1,77,True,False,False,False,False,True,False
datsun 810,22.0,146.0,97,2815,14.5,77,False,False,True,False,False,False,True
bmw 320i,21.5,121.0,110,2600,12.8,77,True,False,False,False,False,True,False
ford fiesta,36.1,98.0,66,1800,14.4,78,True,False,False,False,True,False,False
mazda glc deluxe,32.8,78.0,52,1985,19.4,78,True,False,False,False,False,False,True
datsun b210 gx,39.4,85.0,70,2070,18.6,78,True,False,False,False,False,False,True
honda civic cvcc,36.1,91.0,60,1800,16.4,78,True,False,False,False,False,False,True
oldsmobile cutlass salon brougham,19.9,260.0,110,3365,15.5,78,False,False,False,True,True,False,False
dodge diplomat,19.4,318.0,140,3735,13.2,78,False,False,False,True,True,False,False
mercury monarch ghia,20.2,302.0,139,3570,12.8,78,False,False,False,True,True,False,False
pontiac phoenix lj,19.2,231.0,105,3535,19.2,78,False,False,True,False,True,False,False
chevrolet malibu,20.5,200.0,95,3155,18.2,78,False,False,True,False,True,False,False
ford fairmont (auto),20.2,200.0,85,2965,15.8,78,False,False,True,False,True,False,False
ford fairmont (man),25.1,140.0,88,2720,15.4,78,True,False,False,False,True,False,False
plymouth volare,20.5,225.0,100,3430,17.2,78,False,False,True,False,True,False,False
amc concord,19.4,232.0,90,3210,17.2,78,False,False,True,False,True,False,False
buick century special,20.6,231.0,105,3380,15.8,78,False,False,True,False,True,False,False
mercury zephyr,20.8,200.0,85,3070,16.7,78,False,False,True,False,True,False,False
dodge aspen,18.6,225.0,110,3620,18.7,78,False,False,True,False,True,False,False
amc concord d/l,18.1,258.0,120,3410,15.1,78,False,False,True,False,True,False,False
chevrolet monte carlo landau,19.2,305.0,145,3425,13.2,78,False,False,False,True,True,False,False
ford futura,18.1,302.0,139,3205,11.2,78,False,False,False,True,True,False,False
dodge magnum xe,17.5,318.0,140,4080,13.7,78,False,False,False,True,True,False,False
chevrolet chevette,30.0,98.0,68,2155,16.5,78,True,False,False,False,True,False,False
toyota corona,27.5,134.0,95,2560,14.2,78,True,False,False,False,False,False,True
datsun 510,27.2,119.0,97,2300,14.7,78,True,False,False,False,False,False,True
dodge omni,30.9,105.0,75,2230,14.5,78,True,False,False,False,True,False,False
toyota celica gt liftback,21.1,134.0,95,2515,14.8,78,True,False,False,False,False,False,True
plymouth sapporo,23.2,156.0,105,2745,16.7,78,True,False,False,False,True,False,False
oldsmobile starfire sx,23.8,151.0,85,2855,17.6,78,True,False,False,False,True,False,False
datsun 200-sx,23.9,119.0,97,2405,14.9,78,True,False,False,False,False,False,True
audi 5000,20.3,131.0,103,2830,15.9,78,False,True,False,False,False,True,False
saab 99gle,21.6,121.0,115,2795,15.7,78,True,False,False,False,False,True,False
volkswagen scirocco,31.5,89.0,71,1990,14.9,78,True,False,False,False,False,True,False
honda accord lx,29.5,98.0,68,2135,16.6,78,True,False,False,False,False,False,True
pontiac lemans v6,21.5,231.0,115,3245,15.4,79,False,False,True,False,True,False,False
mercury zephyr 6,19.8,200.0,85,2990,18.2,79,False,False,True,False,True,False,False
ford fairmont 4,22.3,140.0,88,2890,17.3,79,True,False,False,False,True,False,False
amc concord dl 6,20.2,232.0,90,3265,18.2,79,False,False,True,False,True,False,False
dodge aspen 6,20.6,225.0,110,3360,16.6,79,False,False,True,False,True,False,False
chevrolet caprice classic,17.0,305.0,130,3840,15.4,79,False,False,False,True,True,False,False
ford ltd landau,17.6,302.0,129,3725,13.4,79,False,False,False,True,True,False,False
mercury grand marquis,16.5,351.0,138,3955,13.2,79,False,False,False,True,True,False,False
dodge st. regis,18.2,318.0,135,3830,15.2,79,False,False,False,True,True,False,False
buick estate wagon (sw),16.9,350.0,155,4360,14.9,79,False,False,False,True,True,False,False
ford country squire (sw),15.5,351.0,142,4054,14.3,79,False,False,False,True,True,False,False
chevrolet malibu classic (sw),19.2,267.0,125,3605,15.0,79,False,False,False,True,True,False,False
chrysler lebaron town @ country (sw),18.5,360.0,150,3940,13.0,79,False,False,False,True,True,False,False
vw rabbit custom,31.9,89.0,71,1925,14.0,79,True,False,False,False,False,True,False
maxda glc deluxe,34.1,86.0,65,1975,15.2,79,True,False,False,False,False,False,True
dodge colt hatchback custom,35.7,98.0,80,1915,14.4,79,True,False,False,False,True,False,False
amc spirit dl,27.4,121.0,80,2670,15.0,79,True,False,False,False,True,False,False
plymouth horizon,34.2,105.0,70,2200,13.2,79,True,False,False,False,True,False,False
plymouth horizon tc3,34.5,105.0,70,2150,14.9,79,True,False,False,False,True,False,False
datsun 210,31.8,85.0,65,2020,19.2,79,True,False,False,False,False,False,True
fiat strada custom,37.3,91.0,69,2130,14.7,79,True,False,False,False,False,True,False
buick skylark limited,28.4,151.0,90,2670,16.0,79,True,False,False,False,True,False,False
pontiac phoenix,33.5,151.0,90,2556,13.2,79,True,False,False,False,True,False,False
toyota corolla tercel,38.1,89.0,60,1968,18.8,80,True,False,False,False,False,False,True
chevrolet chevette,32.1,98.0,70,2120,15.5,80,True,False,False,False,True,False,False
datsun 310,37.2,86.0,65,2019,16.4,80,True,False,False,False,False,False,True
chevrolet citation,28.0,151.0,90,2678,16.5,80,True,False,False,False,True,False,False
ford fairmont,26.4,140.0,88,2870,18.1,80,True,False,False,False,True,False,False
amc concord,24.3,151.0,90,3003,20.1,80,True,False,False,False,True,False,False
dodge aspen,19.1,225.0,90,3381,18.7,80,False,False,True,False,True,False,False
audi 4000,34.3,97.0,78,2188,15.8,80,True,False,False,False,False,True,False
toyota corona liftback,29.8,134.0,90,2711,15.5,80,True,False,False,False,False,False,True
mazda 626,31.3,120.0,75,2542,17.5,80,True,False,False,False,False,False,True
datsun 510 hatchback,37.0,119.0,92,2434,15.0,80,True,False,False,False,False,False,True
toyota corolla,32.2,108.0,75,2265,15.2,80,True,False,False,False,False,False,True
dodge colt,27.9,156.0,105,2800,14.4,80,True,False,False,False,True,False,False
datsun 210,40.8,85.0,65,2110,19.2,80,True,False,False,False,False,False,True
audi 5000s (diesel),36.4,121.0,67,2950,19.9,80,False,True,False,False,False,True,False
mercedes-benz 240d,30.0,146.0,67,3250,21.8,80,True,False,False,False,False,True,False
honda civic 1500 gl,44.6,91.0,67,1850,13.8,80,True,False,False,False,False,False,True
subaru dl,33.8,97.0,67,2145,18.0,80,True,False,False,False,False,False,True
vokswagen rabbit,29.8,89.0,62,1845,15.3,80,True,False,False,False,False,True,False
triumph tr7 coupe,35.0,122.0,88,2500,15.1,80,True,False,False,False,False,True,False
honda accord,32.4,107.0,72,2290,17.0,80,True,False,False,False,False,False,True
plymouth reliant,27.2,135.0,84,2490,15.7,81,True,False,False,False,True,False,False
buick skylark,26.6,151.0,84,2635,16.4,81,True,False,False,False,True,False,False
dodge aries wagon (sw),25.8,156.0,92,2620,14.4,81,True,False,False,False,True,False,False
chevrolet citation,23.5,173.0,110,2725,12.6,81,False,False,True,False,True,False,False
plymouth reliant,30.0,135.0,84,2385,12.9,81,True,False,False,False,True,False,False
toyota starlet,39.1,79.0,58,1755,16.9,81,True,False,False,False,False,False,True
honda civic 1300,35.1,81.0,60,1760,16.1,81,True,False,False,False,False,False,True
subaru,32.3,97.0,67,2065,17.8,81,True,False,False,False,False,False,True
datsun 210 mpg,37.0,85.0,65,1975,19.4,81,True,False,False,False,False,False,True
toyota tercel,37.7,89.0,62,2050,17.3,81,True,False,False,False,False,False,True
mazda glc 4,34.1,91.0,68,1985,16.0,81,True,False,False,False,False,False,True
plymouth horizon 4,34.7,105.0,63,2215,14.9,81,True,False,False,False,True,False,False
ford escort 4w,34.4,98.0,65,2045,16.2,81,True,False,False,False,True,False,False
ford escort 2h,29.9,98.0,65,2380,20.7,81,True,False,False,False,True,False,False
volkswagen jetta,33.0,105.0,74,2190,14.2,81,True,False,False,False,False,True,False
honda prelude,33.7,107.0,75,2210,14.4,81,True,False,False,False,False,False,True
toyota corolla,32.4,108.0,75,2350,16.8,81,True,False,False,False,False,False,True
datsun 200sx,32.9,119.0,100,2615,14.8,81,True,False,False,False,False,False,True
mazda 626,31.6,120.0,74,2635,18.3,81,True,False,False,False,False,False,True
peugeot 505s turbo diesel,28.1,141.0,80,3230,20.4,81,True,False,False,False,False,True,False
datsun 810 maxima,24.2,146.0,120,2930,13.8,81,False,False,True,False,False,False,True
buick century,22.4,231.0,110,3415,15.8,81,False,False,True,False,True,False,False
ford granada gl,20.2,200.0,88,3060,17.1,81,False,False,True,False,True,False,False
chrysler lebaron salon,17.6,225.0,85,3465,16.6,81,False,False,True,False,True,False,False
chevrolet cavalier,28.0,112.0,88,2605,19.6,82,True,False,False,False,True,False,False
chevrolet cavalier wagon,27.0,112.0,88,2640,18.6,82,True,False,False,False,True,False,False
chevrolet cavalier 2-door,34.0,112.0,88,2395,18.0,82,True,False,False,False,True,False,False
pontiac j2000 se hatchback,31.0,112.0,85,2575,16.2,82,True,False,False,False,True,False,False
