mpg,cylinders,acceleration,year,origin,name,displacement_log,horsepower_log,weight_log
14.0,8,13.5,71,1,ford galaxie 500,5.860786223465865,5.030437921392435,8.331827004436057
14.0,8,13.0,71,1,plymouth fury iii,5.762051382780177,5.0106352940962555,8.317766166719343
12.0,8,11.5,71,1,dodge monaco (sw),5.948034989180646,5.19295685089021,8.508152446764088
13.0,8,12.0,71,1,ford country squire (sw),5.991464547107982,5.135798437050262,8.465057436995709
13.0,8,12.0,71,1,pontiac safari (sw),5.991464547107982,5.1647859739235145,8.544808358449211
18.0,6,13.5,71,1,amc hornet sportabout (sw),5.552959584921617,4.700480365792417,7.993619994827744
22.0,4,19.0,71,1,chevrolet vega (sw),4.941642422609304,4.276666119016055,7.786551806428712
19.0,6,15.0,71,1,pontiac firebird,5.521460917862246,4.605170185988092,8.096208271650037
18.0,6,14.5,71,1,ford mustang,5.521460917862246,4.477336814478207,8.051659556841953
23.0,4,14.0,71,1,mercury capri 2000,4.804021044733257,4.454347296253507,7.705262474866325
28.0,4,14.0,71,2,opel 1900,4.7535901911063645,4.499809670330265,7.660585461703256
30.0,4,19.5,71,2,peugeot 304,4.3694478524670215,4.248495242049359,7.637234388789473
30.0,4,14.5,71,2,fiat 124b,4.477336814478207,4.330733340286331,7.632885505395133
31.0,4,19.0,71,3,toyota corolla 1200,4.2626798770413155,4.174387269895637,7.480428306074208
35.0,4,18.0,71,3,datsun 1200,4.276666119016055,4.23410650459726,7.385851078125209
27.0,4,19.0,71,2,volkswagen model 111,4.574710978503383,4.0943445622221,7.51425465281641
26.0,4,20.5,71,1,plymouth cricket,4.51085950651685,4.248495242049359,7.578145472419466
24.0,4,15.5,72,3,toyota corona hardtop,4.727387818712341,4.553876891600541,7.731053144007127
25.0,4,17.0,72,1,dodge colt hardtop,4.579852378003801,4.382026634673881,7.661997558901893
20.0,4,19.5,72,1,chevrolet vega,4.941642422609304,4.499809670330265,7.786551806428712
21.0,4,16.5,72,1,ford pinto runabout,4.804021044733257,4.454347296253507,7.70796153183549
13.0,8,12.0,72,1,chevrolet impala,5.857933154483459,5.10594547390058,8.360305435879093
14.0,8,12.0,72,1,pontiac catalina,5.991464547107982,5.1647859739235145,8.385944904806284
15.0,8,13.5,72,1,plymouth fury iii,5.762051382780177,5.0106352940962555,8.327242607457793
14.0,8,13.0,72,1,ford galaxie 500,5.860786223465865,5.030437921392435,8.32579052588609
17.0,8,11.5,72,1,amc ambassador sst,5.717027701406222,5.0106352940962555,8.20849175174038
11.0,8,11.0,72,1,mercury marquis,6.061456918928017,5.337538079701318,8.440959885416648
13.0,8,13.5,72,1,buick lesabre custom,5.857933154483459,5.043425116919247,8.412277021466677
12.0,8,13.5,72,1,oldsmobile delta 88 royale,5.857933154483459,5.075173815233827,8.40200678160712
13.0,8,12.5,72,1,chrysler newport royal,5.991464547107982,5.247024072160486,8.394347361417392
15.0,8,12.5,72,1,amc matador (sw),5.717027701406222,5.0106352940962555,8.266678443305896
13.0,8,14.0,72,1,chevrolet chevelle concours (sw),5.726847747587197,4.867534450455582,8.318254328798846
13.0,8,16.0,72,1,ford gran torino (sw),5.71042701737487,4.941642422609304,8.364973978438726
14.0,8,14.0,72,1,plymouth satellite custom (sw),5.762051382780177,5.0106352940962555,8.313116702819253
18.0,4,14.5,72,2,volvo 145e (sw),4.795790545596741,4.718498871295094,7.983781068977451
22.0,4,18.0,72,2,volkswagen 411 (sw),4.795790545596741,4.330733340286331,7.828436359157585
21.0,4,19.5,72,2,peugeot 504 (sw),4.787491742782046,4.465908118654584,7.999342952713282
26.0,4,18.0,72,2,renault 12 (sw),4.564348191467836,4.23410650459726,7.691200097522863
22.0,4,16.0,72,1,ford pinto (sw),4.804021044733257,4.454347296253507,7.781138509845015
28.0,4,17.0,72,3,datsun 510 (sw),4.574710978503383,4.5217885770490405,7.7354333524996886
23.0,4,14.5,72,3,toyouta corona mark ii (sw),4.787491742782046,4.574710978503383,7.826443135456014
28.0,4,15.0,72,1,dodge colt (sw),4.584967478670572,4.382026634673881,7.679713639966372
27.0,4,16.5,72,3,toyota corolla 1600 (sw),4.574710978503383,4.477336814478207,7.649692623711514
13.0,8,13.0,73,1,buick century 350,5.857933154483459,5.1647859739235145,8.318742252692399
14.0,8,11.5,73,1,amc matador,5.717027701406222,5.0106352940962555,8.20849175174038
13.0,8,13.0,73,1,chevrolet malibu,5.857933154483459,4.976733742420574,8.291045131081729
14.0,8,14.5,73,1,ford gran torino,5.71042701737487,4.919980925828125,8.304494897963567
15.0,8,12.5,73,1,dodge coronet custom,5.762051382780177,5.0106352940962555,8.236685322712457
12.0,8,11.5,73,1,mercury marquis brougham,6.061456918928017,5.288267030694535,8.507546814364431
13.0,8,12.0,73,1,chevrolet caprice classic,5.991464547107982,5.0106352940962555,8.403800504061147
13.0,8,13.0,73,1,ford ltd,5.860786223465865,5.062595033026967,8.38091517312361
14.0,8,14.5,73,1,plymouth fury gran sedan,5.762051382780177,5.0106352940962555,8.351610750626559
13.0,8,11.0,73,1,amc ambassador brougham,5.886104031450156,5.1647859739235145,8.2482674474469
18.0,6,16.5,73,1,plymouth valiant,5.41610040220442,4.653960350157523,8.045908742270779
16.0,6,18.0,73,1,chevrolet nova custom,5.521460917862246,4.605170185988092,8.094988759303774
18.0,6,16.0,73,1,amc hornet,5.44673737166631,4.605170185988092,7.987864096085687
18.0,6,16.5,73,1,ford maverick,5.521460917862246,4.477336814478207,8.013343181386672
23.0,6,16.0,73,1,plymouth duster,5.288267030694535,4.553876891600541,7.973844375944687
26.0,4,21.0,73,2,volkswagen super beetle,4.574710978503383,3.828641396489095,7.575584651557793
11.0,8,14.0,73,1,chevrolet impala,5.991464547107982,5.0106352940962555,8.516593011344206
12.0,8,12.5,73,1,ford country,5.991464547107982,5.117993812416755,8.498214224818435
13.0,8,13.0,73,1,plymouth custom suburb,5.886104031450156,5.135798437050262,8.445482343862237
12.0,8,12.5,73,1,oldsmobile vista cruiser,5.857933154483459,5.19295685089021,8.411610428841172
18.0,6,15.0,73,1,amc gremlin,5.44673737166631,4.605170185988092,7.933438387627489
20.0,4,19.0,73,3,toyota carina,4.574710978503383,4.477336814478207,7.731492029245684
21.0,4,19.5,73,1,chevrolet vega,4.941642422609304,4.276666119016055,7.783640596221253
22.0,4,16.5,73,3,datsun 610,4.68213122712422,4.543294782270004,7.774435510302958
19.0,4,18.5,73,1,ford pinto,4.804021044733257,4.442651256490317,7.745002803515839
21.0,6,14.0,73,1,mercury capri v6,5.043425116919247,4.672828834461906,7.812782818577581
26.0,4,15.5,73,2,fiat 124 sport coupe,4.584967478670572,4.499809670330265,7.725330037917135
15.0,8,13.0,73,1,chevrolet monte carlo s,5.857933154483459,4.976733742420574,8.31434234336979
29.0,4,19.5,73,2,fiat 128,4.219507705176107,3.8918202981106265,7.532088143541722
24.0,4,15.5,73,2,opel manta,4.7535901911063645,4.31748811353631,7.67693714581808
20.0,4,14.0,73,2,audi 100ls,4.736198448394496,4.51085950651685,7.856319571406588
19.0,4,15.5,73,2,volvo 144ea,4.795790545596741,4.718498871295094,7.961370201719511
15.0,8,11.0,73,1,dodge dart custom,5.762051382780177,5.0106352940962555,8.131236549696116
24.0,4,14.0,73,2,saab 99le,4.795790545596741,4.700480365792417,7.886081401775745
20.0,6,13.5,73,3,toyota mark ii,5.049856007249537,4.804021044733257,7.939871576361883
11.0,8,11.0,73,1,oldsmobile omega,5.857933154483459,5.19295685089021,8.20631072579402
20.0,6,16.5,74,1,plymouth duster,5.288267030694535,4.553876891600541,8.039802343736485
19.0,6,16.0,74,1,amc hornet,5.44673737166631,4.605170185988092,7.972810784121404
15.0,6,17.0,74,1,chevrolet nova,5.521460917862246,4.605170185988092,8.112527763478637
31.0,4,19.0,74,3,datsun b210,4.3694478524670215,4.204692619390966,7.575584651557793
26.0,4,16.5,74,1,ford pinto,4.804021044733257,4.382026634673881,7.804251383528112
32.0,4,21.0,74,3,toyota corolla 1200,4.2626798770413155,4.174387269895637,7.515344571180436
25.0,4,17.0,74,1,chevrolet vega,4.941642422609304,4.31748811353631,7.8407064517494
16.0,6,17.0,74,1,chevrolet chevelle malibu classic,5.521460917862246,4.605170185988092,8.237743803890933
16.0,6,18.0,74,1,amc matador,5.552959584921617,4.700480365792417,8.197538739721184
18.0,6,16.5,74,1,plymouth satellite sebring,5.41610040220442,4.653960350157523,8.19229373114764
16.0,8,14.0,74,1,ford gran torino,5.71042701737487,4.941642422609304,8.328692583545568
13.0,8,14.5,74,1,buick century luxus (sw),5.857933154483459,5.0106352940962555,8.455104999102815
14.0,8,13.5,74,1,dodge coronet custom (sw),5.762051382780177,5.0106352940962555,8.402231172946555
14.0,8,16.0,74,1,ford gran torino (sw),5.71042701737487,4.941642422609304,8.442038517815478
14.0,8,15.5,74,1,amc matador (sw),5.717027701406222,5.0106352940962555,8.356319965828153
29.0,4,16.5,74,2,audi fox,4.584967478670572,4.418840607796598,7.704811922932594
26.0,4,15.5,74,2,volkswagen dasher,4.3694478524670215,4.204692619390966,7.5822291942764615
26.0,4,14.5,74,2,opel manta,4.574710978503383,4.356708826689592,7.7406644019172415
31.0,4,16.5,74,3,toyota corona,4.330733340286331,3.9512437185814275,7.407924322559599
32.0,4,19.0,74,3,datsun 710,4.418840607796598,4.110873864173311,7.602401335665818
28.0,4,14.5,74,1,dodge colt,4.499809670330265,4.31748811353631,7.661527081358517
24.0,4,15.5,74,2,fiat 128,4.499809670330265,4.31748811353631,7.653494909661253
26.0,4,14.0,74,2,fiat 124 tc,4.7535901911063645,4.31748811353631,7.716906135298388
24.0,4,15.0,74,3,honda civic,4.787491742782046,4.574710978503383,7.819636302367592
26.0,4,15.5,74,3,subaru,4.68213122712422,4.532599493153256,7.779466967458324
31.0,4,16.0,74,2,fiat x1.9,4.3694478524670215,4.204692619390966,7.600902459542082
19.0,6,16.0,75,1,plymouth valiant custom,5.41610040220442,4.553876891600541,8.090708716083997
18.0,6,16.0,75,1,chevrolet nova,5.521460917862246,4.653960350157523,8.148734808937169
15.0,6,21.0,75,1,mercury monarch,5.521460917862246,4.276666119016055,8.140898460607852
15.0,6,19.5,75,1,ford maverick,5.521460917862246,4.276666119016055,8.057694194815587
16.0,8,11.5,75,1,pontiac catalina,5.991464547107982,5.135798437050262,8.448485993406447
15.0,8,14.0,75,1,chevrolet bel air,5.857933154483459,4.976733742420574,8.39840965542627
16.0,8,14.5,75,1,plymouth grand fury,5.762051382780177,5.0106352940962555,8.411388132519262
14.0,8,13.5,75,1,ford ltd,5.860786223465865,4.997212273764115,8.446126742982377
17.0,6,21.0,75,1,buick century,5.442417710521793,4.700480365792417,8.27052509505507
16.0,6,18.5,75,1,chevroelt chevelle malibu,5.521460917862246,4.653960350157523,8.26796230533871
15.0,6,19.0,75,1,amc matador,5.552959584921617,4.700480365792417,8.224163512637862
18.0,6,19.0,75,1,plymouth fury,5.41610040220442,4.553876891600541,8.23880116587155
21.0,6,15.0,75,1,buick skyhawk,5.442417710521793,4.700480365792417,8.019283792916793
20.0,8,13.5,75,1,chevrolet monza 2+2,5.568344503761097,4.700480365792417,8.0774471493312
13.0,8,12.0,75,1,ford mustang ii,5.71042701737487,4.859812404361672,8.06117135969092
29.0,4,16.0,75,3,toyota corolla,4.574710978503383,4.31748811353631,7.682943169878292
23.0,4,17.0,75,1,ford pinto,4.941642422609304,4.418840607796598,7.878155336503324
20.0,6,16.0,75,1,amc gremlin,5.44673737166631,4.605170185988092,7.97728198675515
23.0,4,18.5,75,1,pontiac astro,4.941642422609304,4.356708826689592,7.860185057472165
24.0,4,13.5,75,3,toyota corona,4.897839799950911,4.564348191467836,7.9017475185201445
25.0,4,16.5,75,2,volkswagen dasher,4.499809670330265,4.2626798770413155,7.706612913964197
24.0,4,17.0,75,3,datsun 710,4.77912349311153,4.574710978503383,7.841885928984623
18.0,6,14.5,75,1,ford pinto,5.14166355650266,4.574710978503383,8.001019961323651
29.0,4,14.0,75,2,volkswagen rabbit,4.499809670330265,4.248495242049359,7.5688956634069955
19.0,6,17.0,75,1,amc pacer,5.44673737166631,4.499809670330265,8.074337694089515
23.0,4,15.0,75,2,audi 100ls,4.74493212836325,4.553876891600541,7.898782356970309
23.0,4,17.0,75,2,peugeot 504,4.787491742782046,4.477336814478207,7.9919305198524775
22.0,4,14.5,75,2,volvo 244dl,4.795790545596741,4.584967478670572,7.987864096085687
25.0,4,13.5,75,2,saab 99le,4.795790545596741,4.74493212836325,7.890208213109961
33.0,4,17.5,75,3,honda civic cvcc,4.51085950651685,3.970291913552122,7.492760300922379
28.0,4,15.5,76,2,fiat 131,4.672828834461906,4.454347296253507,7.80954132465341
25.0,4,16.9,76,2,opel 1900,4.7535901911063645,4.394449154672439,7.705262474866325
25.0,4,14.9,76,1,capri ii,4.941642422609304,4.5217885770490405,7.85243908535751
26.0,4,17.7,76,1,dodge colt,4.584967478670572,4.3694478524670215,7.720905251936779
27.0,4,15.3,76,2,renault 12tl,4.61512051684126,4.418840607796598,7.697121317282625
17.5,8,13.0,76,1,chevrolet chevelle malibu classic,5.720311776607412,4.941642422609304,8.346404870435956
16.0,8,13.0,76,1,dodge coronet brougham,5.762051382780177,5.0106352940962555,8.340456012916183
15.5,8,13.9,76,1,amc matador,5.717027701406222,4.787491742782046,8.284504227258497
14.5,8,12.8,76,1,ford gran torino,5.860786223465865,5.0238805208462765,8.346404870435956
22.0,6,15.4,76,1,plymouth valiant,5.41610040220442,4.605170185988092,8.081165777725433
22.0,6,14.5,76,1,chevrolet nova,5.521460917862246,4.653960350157523,8.117610746466228
24.0,6,17.6,76,1,ford maverick,5.298317366548036,4.394449154672439,8.010359588919783
22.5,6,17.6,76,1,amc hornet,5.44673737166631,4.499809670330265,8.034306936339489
29.0,4,14.2,76,2,vw rabbit,4.499809670330265,4.248495242049359,7.5688956634069955
33.0,4,17.4,76,3,honda civic,4.51085950651685,3.970291913552122,7.492760300922379
20.0,6,17.7,76,1,dodge aspen se,5.41610040220442,4.605170185988092,8.202756381655638
18.0,6,21.0,76,1,ford granada ghia,5.521460917862246,4.356708826689592,8.181440695719374
18.5,6,16.2,76,1,pontiac ventura sj,5.521460917862246,4.700480365792417,8.201111644442758
17.5,6,17.8,76,1,amc pacer d/l,5.552959584921617,4.553876891600541,8.068716192714781
29.5,4,12.2,76,2,volkswagen rabbit,4.574710978503383,4.2626798770413155,7.509335266016592
32.0,4,17.0,76,3,datsun b-210,4.442651256490317,4.248495242049359,7.595889917718538
28.0,4,16.4,76,3,toyota corolla,4.574710978503383,4.31748811353631,7.675546002537848
26.5,4,13.6,76,1,ford pinto,4.941642422609304,4.276666119016055,7.84971375760487
20.0,4,15.7,76,2,volvo 245,4.867534450455582,4.624972813284271,8.055157731819678
13.0,8,13.2,76,1,plymouth volare premier v8,5.762051382780177,5.0106352940962555,8.27893600229198
19.0,4,21.9,76,2,peugeot 504,4.787491742782046,4.477336814478207,8.0925452638913
19.0,6,15.5,76,3,toyota mark ii,5.049856007249537,4.68213122712422,7.982757702011113
16.5,6,16.7,76,2,mercedes-benz 280s,5.123963979403259,4.787491742782046,8.24800570160062
16.5,8,12.1,76,1,cadillac seville,5.857933154483459,5.19295685089021,8.384804003370492
13.0,8,12.0,76,1,chevy c10,5.857933154483459,4.976733742420574,8.307705966549513
13.0,8,15.0,76,1,ford f108,5.71042701737487,4.867534450455582,8.261009786023827
13.0,8,14.0,76,1,dodge d100,5.762051382780177,5.0106352940962555,8.230843564198235
31.5,4,18.5,77,3,honda accord cvcc,4.584967478670572,4.219507705176107,7.623153068476902
30.0,4,14.8,77,1,buick opel isuzu deluxe,4.709530201312334,4.382026634673881,7.675546002537848
36.0,4,18.6,77,2,renault 5 gtl,4.3694478524670215,4.060443010546419,7.509335266016592
25.5,4,15.5,77,1,plymouth arrow gs,4.804021044733257,4.564348191467836,7.7406644019172415
33.5,4,16.8,77,3,datsun f-10 hatchback,4.442651256490317,4.248495242049359,7.573017256052546
17.5,8,12.5,77,1,chevrolet caprice classic,5.720311776607412,4.976733742420574,8.263590432617319
17.0,8,19.0,77,1,oldsmobile cutlass supreme,5.560681631015528,4.700480365792417,8.308938252595778
15.5,8,13.7,77,1,dodge monaco brougham,5.762051382780177,4.976733742420574,8.32845106681936
15.0,8,14.9,77,1,mercury cougar brougham,5.71042701737487,4.867534450455582,8.365206834418355
17.5,6,16.4,77,1,chevrolet concours,5.521460917862246,4.700480365792417,8.166216268592143
20.5,6,16.9,77,1,buick skylark,5.442417710521793,4.653960350157523,8.138856750696325
19.0,6,17.7,77,1,plymouth volare custom,5.41610040220442,4.605170185988092,8.196987927258897
18.5,6,19.0,77,1,ford granada,5.521460917862246,4.584967478670572,8.16763571524637
16.0,8,11.1,77,1,pontiac grand prix lj,5.991464547107982,5.19295685089021,8.347590407030058
15.5,8,11.4,77,1,chevrolet monte carlo landau,5.857933154483459,5.135798437050262,8.334471554600944
15.5,8,12.2,77,1,chrysler cordoba,5.991464547107982,5.247024072160486,8.37216741936598
16.0,8,14.5,77,1,ford thunderbird,5.860786223465865,5.003946305945459,8.374476889214643
29.0,4,14.5,77,2,volkswagen rabbit custom,4.574710978503383,4.356708826689592,7.570443252057374
24.5,4,16.0,77,1,pontiac sunbird coupe,5.017279836814924,4.477336814478207,7.9157131993821155
26.0,4,18.2,77,3,toyota corolla liftback,4.574710978503383,4.31748811353631,7.725330037917135
25.5,4,15.8,77,1,ford mustang ii 2+2,4.941642422609304,4.48863636973214,7.9211727215870145
30.5,4,17.0,77,1,chevrolet chevette,4.584967478670572,4.143134726391533,7.62608275807238
33.5,4,15.9,77,1,dodge colt m/m,4.584967478670572,4.418840607796598,7.637716432664798
30.0,4,16.4,77,3,subaru dl,4.574710978503383,4.204692619390966,7.59337419312129
30.5,4,14.1,77,2,volkswagen dasher,4.574710978503383,4.356708826689592,7.691656822810547
22.0,6,14.5,77,3,datsun 810,4.983606621708336,4.574710978503383,7.942717540573791
21.5,4,12.8,77,2,bmw 320i,4.795790545596741,4.700480365792417,7.8632667240095735
43.1,4,21.5,78,2,volkswagen rabbit custom diesel,4.499809670330265,3.871201010907891,7.59337419312129
36.1,4,14.4,78,1,ford fiesta,4.584967478670572,4.189654742026425,7.495541943884256
32.8,4,19.4,78,3,mazda glc deluxe,4.356708826689592,3.9512437185814275,7.59337419312129
39.4,4,18.6,78,3,datsun b210 gx,4.442651256490317,4.248495242049359,7.635303886259415
36.1,4,16.4,78,3,honda civic cvcc,4.51085950651685,4.0943445622221,7.495541943884256
19.9,8,15.5,78,1,oldsmobile cutlass salon brougham,5.560681631015528,4.700480365792417,8.121183242078828
19.4,8,13.2,78,1,dodge diplomat,5.762051382780177,4.941642422609304,8.225503097566918
20.2,8,12.8,78,1,mercury monarch ghia,5.71042701737487,4.9344739331306915,8.180320874773685
19.2,6,19.2,78,1,pontiac phoenix lj,5.442417710521793,4.653960350157523,8.170468578330674
20.5,6,18.2,78,1,chevrolet malibu,5.298317366548036,4.553876891600541,8.056743774975313
20.2,6,15.8,78,1,ford fairmont (auto),5.298317366548036,4.442651256490317,7.994632311431825
25.1,4,15.4,78,1,ford fairmont (man),4.941642422609304,4.477336814478207,7.908387159290043
20.5,6,17.2,78,1,plymouth volare,5.41610040220442,4.605170185988092,8.140315540159985
19.4,6,17.2,78,1,amc concord,5.44673737166631,4.499809670330265,8.07402621612406
20.6,6,15.8,78,1,buick century special,5.442417710521793,4.653960350157523,8.125630988477065
20.8,6,16.7,78,1,mercury zephyr,5.298317366548036,4.442651256490317,8.029432840581244
18.6,6,18.7,78,1,dodge aspen,5.41610040220442,4.700480365792417,8.194229304819817
18.1,6,15.1,78,1,amc concord d/l,5.552959584921617,4.787491742782046,8.134467570277563
19.2,8,13.2,78,1,chevrolet monte carlo landau,5.720311776607412,4.976733742420574,8.138856750696325
17.7,6,13.4,78,1,buick regal sport coupe (turbo),5.442417710521793,5.10594547390058,8.144679183447758
18.1,8,11.2,78,1,ford futura,5.71042701737487,4.9344739331306915,8.07246736935477
17.5,8,13.7,78,1,dodge magnum xe,5.762051382780177,4.941642422609304,8.313852267398207
30.0,4,16.5,78,1,chevrolet chevette,4.584967478670572,4.219507705176107,7.675546002537848
27.5,4,14.2,78,3,toyota corona,4.897839799950911,4.553876891600541,7.847762537473608
27.2,4,14.7,78,3,datsun 510,4.77912349311153,4.574710978503383,7.7406644019172415
30.9,4,14.5,78,1,dodge omni,4.653960350157523,4.31748811353631,7.709756864454165
21.1,4,14.8,78,3,toyota celica gt liftback,4.897839799950911,4.553876891600541,7.83002808253384
23.2,4,16.7,78,1,plymouth sapporo,5.049856007249537,4.653960350157523,7.917536353943631
23.8,4,17.6,78,1,oldsmobile starfire sx,5.017279836814924,4.442651256490317,7.956827122090111
23.9,4,14.9,78,3,datsun 200-sx,4.77912349311153,4.574710978503383,7.785305182539862
20.3,5,15.9,78,2,audi 5000,4.875197323201151,4.634728988229636,7.948031990637284
17.0,6,13.6,78,2,volvo 264gl,5.093750200806762,4.8283137373023015,8.0519780789023
21.6,4,15.7,78,2,saab 99gle,4.795790545596741,4.74493212836325,7.9355873855892
16.2,6,15.8,78,2,peugeot 604sl,5.093750200806762,4.890349128221754,8.134467570277563
31.5,4,14.9,78,2,volkswagen scirocco,4.48863636973214,4.2626798770413155,7.595889917718538
29.5,4,16.6,78,3,honda accord lx,4.584967478670572,4.219507705176107,7.666221925662725
21.5,6,15.4,79,1,pontiac lemans v6,5.442417710521793,4.74493212836325,8.08487062913819
19.8,6,18.2,79,1,mercury zephyr 6,5.298317366548036,4.442651256490317,8.003028666384733
22.3,4,17.3,79,1,ford fairmont 4,4.941642422609304,4.477336814478207,7.969011781106478
20.2,6,18.2,79,1,amc concord dl 6,5.44673737166631,4.499809670330265,8.09101504171053
20.6,6,16.6,79,1,dodge aspen 6,5.41610040220442,4.700480365792417,8.11969625295725
17.0,8,15.4,79,1,chevrolet caprice classic,5.720311776607412,4.867534450455582,8.253227645581772
17.6,8,13.4,79,1,ford ltd landau,5.71042701737487,4.859812404361672,8.22282213081366
16.5,8,13.2,79,1,mercury grand marquis,5.860786223465865,4.927253685157205,8.282735880201754
18.2,8,15.2,79,1,dodge st. regis,5.762051382780177,4.90527477843843,8.250620082174692
16.9,8,14.9,79,1,buick estate wagon (sw),5.857933154483459,5.043425116919247,8.38022733634308
15.5,8,14.3,79,1,ford country squire (sw),5.860786223465865,4.955827057601261,8.307459327011946
19.2,8,15.0,79,1,chevrolet malibu classic (sw),5.58724865840025,4.8283137373023015,8.190077049719049
18.5,8,13.0,79,1,chrysler lebaron town @ country (sw),5.886104031450156,5.0106352940962555,8.27893600229198
31.9,4,14.0,79,2,vw rabbit custom,4.48863636973214,4.2626798770413155,7.562681246721884
34.1,4,15.2,79,3,maxda glc deluxe,4.454347296253507,4.174387269895637,7.5883236773352225
35.7,4,14.4,79,1,dodge colt hatchback custom,4.584967478670572,4.382026634673881,7.557472901614746
27.4,4,15.0,79,1,amc spirit dl,4.795790545596741,4.382026634673881,7.8898337513942955
25.4,5,20.1,79,2,mercedes benz 300d,5.209486152841421,4.343805421853684,8.169053149927343
23.0,8,17.4,79,1,cadillac eldorado,5.857933154483459,4.8283137373023015,8.268731832117737
34.2,4,13.2,79,1,plymouth horizon,4.653960350157523,4.248495242049359,7.696212639346407
34.5,4,14.9,79,1,plymouth horizon tc3,4.653960350157523,4.248495242049359,7.673223121121708
31.8,4,19.2,79,3,datsun 210,4.442651256490317,4.174387269895637,7.61085279039525
37.3,4,14.7,79,2,fiat strada custom,4.51085950651685,4.23410650459726,7.6638772587034705
28.4,4,16.0,79,1,buick skylark limited,5.017279836814924,4.499809670330265,7.8898337513942955
28.8,6,11.3,79,1,chevrolet citation,5.153291594497779,4.74493212836325,7.861341795599989
26.8,6,12.9,79,1,oldsmobile omega brougham,5.153291594497779,4.74493212836325,7.90100705199242
33.5,4,13.2,79,1,pontiac phoenix,5.017279836814924,4.499809670330265,7.846198815497425
41.5,4,14.7,80,2,vw rabbit,4.584967478670572,4.330733340286331,7.670428522190693
38.1,4,18.8,80,3,toyota corolla tercel,4.48863636973214,4.0943445622221,7.584773077612199
32.1,4,15.5,80,1,chevrolet chevette,4.584967478670572,4.248495242049359,7.659171367666058
37.2,4,16.4,80,3,datsun 310,4.454347296253507,4.174387269895637,7.610357618312838
28.0,4,16.5,80,1,chevrolet citation,5.017279836814924,4.499809670330265,7.8928255262511176
26.4,4,18.1,80,1,ford fairmont,4.941642422609304,4.477336814478207,7.962067308753666
24.3,4,20.1,80,1,amc concord,5.017279836814924,4.499809670330265,8.00736706798333
19.1,6,18.7,80,1,dodge aspen,5.41610040220442,4.499809670330265,8.125926802707886
