mpg,cylinders,displacement,horsepower,weight,acceleration,year,name,origin_1,origin_2,origin_3,horsepower_vs_weight,cylinders_vs_displacement,horsepower_vs_displacement,horsepower_vs_year
28.0,4,140.0,90,2264,15.5,71,chevrolet vega 2300,True,False,False,0.03975265017667844,0.02857142857142857,0.6428571428571429,1.267605633802817
25.0,4,113.0,95,2228,14.0,71,toyota corona,False,False,True,0.042639138240574505,0.035398230088495575,0.8407079646017699,1.3380281690140845
19.0,6,232.0,100,2634,13.0,71,amc gremlin,True,False,False,0.037965072133637055,0.02586206896551724,0.43103448275862066,1.408450704225352
16.0,6,225.0,105,3439,15.5,71,plymouth satellite custom,True,False,False,0.030532131433556268,0.02666666666666667,0.4666666666666667,1.4788732394366197
17.0,6,250.0,100,3329,15.5,71,chevrolet chevelle malibu,True,False,False,0.030039050765995796,0.024,0.4,1.408450704225352
19.0,6,250.0,88,3302,15.5,71,ford torino 500,True,False,False,0.026650514839491216,0.024,0.352,1.2394366197183098
18.0,6,232.0,100,3288,15.5,71,amc matador,True,False,False,0.030413625304136254,0.02586206896551724,0.43103448275862066,1.408450704225352
14.0,8,350.0,165,4209,12.0,71,chevrolet impala,True,False,False,0.039201710620099785,0.022857142857142857,0.4714285714285714,2.323943661971831
14.0,8,400.0,175,4464,11.5,71,pontiac catalina brougham,True,False,False,0.03920250896057348,0.02,0.4375,2.464788732394366
14.0,8,351.0,153,4154,13.5,71,ford galaxie 500,True,False,False,0.03683196918632643,0.022792022792022793,0.4358974358974359,2.1549295774647885
14.0,8,318.0,150,4096,13.0,71,plymouth fury iii,True,False,False,0.03662109375,0.025157232704402517,0.4716981132075472,2.112676056338028
12.0,8,383.0,180,4955,11.5,71,dodge monaco (sw),True,False,False,0.03632694248234107,0.020887728459530026,0.4699738903394256,2.535211267605634
13.0,8,400.0,170,4746,12.0,71,ford country squire (sw),True,False,False,0.03581963758954909,0.02,0.425,2.3943661971830985
13.0,8,400.0,175,5140,12.0,71,pontiac safari (sw),True,False,False,0.03404669260700389,0.02,0.4375,2.464788732394366
18.0,6,258.0,110,2962,13.5,71,amc hornet sportabout (sw),True,False,False,0.03713706954760297,0.023255813953488372,0.4263565891472868,1.5492957746478873
22.0,4,140.0,72,2408,19.0,71,chevrolet vega (sw),True,False,False,0.029900332225913623,0.02857142857142857,0.5142857142857142,1.0140845070422535
19.0,6,250.0,100,3282,15.0,71,pontiac firebird,True,False,False,0.030469226081657527,0.024,0.4,1.408450704225352
18.0,6,250.0,88,3139,14.5,71,ford mustang,True,False,False,0.028034405861739407,0.024,0.352,1.2394366197183098
23.0,4,122.0,86,2220,14.0,71,mercury capri 2000,True,False,False,0.03873873873873874,0.03278688524590164,0.7049180327868853,1.2112676056338028
28.0,4,116.0,90,2123,14.0,71,opel 1900,False,True,False,0.04239284032030146,0.034482758620689655,0.7758620689655172,1.267605633802817
30.0,4,79.0,70,2074,19.5,71,peugeot 304,False,True,False,0.033751205400192864,0.05063291139240506,0.8860759493670886,0.9859154929577465
30.0,4,88.0,76,2065,14.5,71,fiat 124b,False,True,False,0.036803874092009685,0.045454545454545456,0.8636363636363636,1.0704225352112675
31.0,4,71.0,65,1773,19.0,71,toyota corolla 1200,False,False,True,0.03666102650874224,0.056338028169014086,0.9154929577464789,0.9154929577464789
35.0,4,72.0,69,1613,18.0,71,datsun 1200,False,False,True,0.04277743335399876,0.05555555555555555,0.9583333333333334,0.971830985915493
27.0,4,97.0,60,1834,19.0,71,volkswagen model 111,False,True,False,0.03271537622682661,0.041237113402061855,0.6185567010309279,0.8450704225352113
26.0,4,91.0,70,1955,20.5,71,plymouth cricket,True,False,False,0.03580562659846547,0.04395604395604396,0.7692307692307693,0.9859154929577465
24.0,4,113.0,95,2278,15.5,72,toyota corona hardtop,False,False,True,0.04170324846356453,0.035398230088495575,0.8407079646017699,1.3194444444444444
25.0,4,97.5,80,2126,17.0,72,dodge colt hardtop,True,False,False,0.03762935089369708,0.041025641025641026,0.8205128205128205,1.1111111111111112
23.0,4,97.0,54,2254,23.5,72,volkswagen type 3,False,True,False,0.023957409050576754,0.041237113402061855,0.5567010309278351,0.75
20.0,4,140.0,90,2408,19.5,72,chevrolet vega,True,False,False,0.03737541528239203,0.02857142857142857,0.6428571428571429,1.25
21.0,4,122.0,86,2226,16.5,72,ford pinto runabout,True,False,False,0.03863432165318958,0.03278688524590164,0.7049180327868853,1.1944444444444444
13.0,8,350.0,165,4274,12.0,72,chevrolet impala,True,False,False,0.0386055217594759,0.022857142857142857,0.4714285714285714,2.2916666666666665
14.0,8,400.0,175,4385,12.0,72,pontiac catalina,True,False,False,0.039908779931584946,0.02,0.4375,2.4305555555555554
15.0,8,318.0,150,4135,13.5,72,plymouth fury iii,True,False,False,0.036275695284159616,0.025157232704402517,0.4716981132075472,2.0833333333333335
14.0,8,351.0,153,4129,13.0,72,ford galaxie 500,True,False,False,0.03705497699200775,0.022792022792022793,0.4358974358974359,2.125
17.0,8,304.0,150,3672,11.5,72,amc ambassador sst,True,False,False,0.04084967320261438,0.02631578947368421,0.4934210526315789,2.0833333333333335
11.0,8,429.0,208,4633,11.0,72,mercury marquis,True,False,False,0.044895316209799266,0.018648018648018648,0.48484848484848486,2.888888888888889
13.0,8,350.0,155,4502,13.5,72,buick lesabre custom,True,False,False,0.03442914260328743,0.022857142857142857,0.44285714285714284,2.1527777777777777
12.0,8,350.0,160,4456,13.5,72,oldsmobile delta 88 royale,True,False,False,0.03590664272890485,0.022857142857142857,0.45714285714285713,2.2222222222222223
13.0,8,400.0,190,4422,12.5,72,chrysler newport royal,True,False,False,0.04296698326549073,0.02,0.475,2.638888888888889
15.0,8,304.0,150,3892,12.5,72,amc matador (sw),True,False,False,0.03854059609455293,0.02631578947368421,0.4934210526315789,2.0833333333333335
13.0,8,307.0,130,4098,14.0,72,chevrolet chevelle concours (sw),True,False,False,0.0317227916056613,0.026058631921824105,0.4234527687296417,1.8055555555555556
13.0,8,302.0,140,4294,16.0,72,ford gran torino (sw),True,False,False,0.032603632976245925,0.026490066225165563,0.46357615894039733,1.9444444444444444
14.0,8,318.0,150,4077,14.0,72,plymouth satellite custom (sw),True,False,False,0.03679175864606328,0.025157232704402517,0.4716981132075472,2.0833333333333335
18.0,4,121.0,112,2933,14.5,72,volvo 145e (sw),False,True,False,0.03818615751789976,0.03305785123966942,0.9256198347107438,1.5555555555555556
22.0,4,121.0,76,2511,18.0,72,volkswagen 411 (sw),False,True,False,0.030266825965750695,0.03305785123966942,0.628099173553719,1.0555555555555556
21.0,4,120.0,87,2979,19.5,72,peugeot 504 (sw),False,True,False,0.02920443101711984,0.03333333333333333,0.725,1.2083333333333333
26.0,4,96.0,69,2189,18.0,72,renault 12 (sw),False,True,False,0.031521242576518956,0.041666666666666664,0.71875,0.9583333333333334
22.0,4,122.0,86,2395,16.0,72,ford pinto (sw),True,False,False,0.03590814196242171,0.03278688524590164,0.7049180327868853,1.1944444444444444
28.0,4,97.0,92,2288,17.0,72,datsun 510 (sw),False,False,True,0.04020979020979021,0.041237113402061855,0.9484536082474226,1.2777777777777777
23.0,4,120.0,97,2506,14.5,72,toyouta corona mark ii (sw),False,False,True,0.038707102952913006,0.03333333333333333,0.8083333333333333,1.3472222222222223
28.0,4,98.0,80,2164,15.0,72,dodge colt (sw),True,False,False,0.036968576709796676,0.04081632653061224,0.8163265306122449,1.1111111111111112
27.0,4,97.0,88,2100,16.5,72,toyota corolla 1600 (sw),False,False,True,0.0419047619047619,0.041237113402061855,0.9072164948453608,1.2222222222222223
13.0,8,350.0,175,4100,13.0,73,buick century 350,True,False,False,0.042682926829268296,0.022857142857142857,0.5,2.3972602739726026
14.0,8,304.0,150,3672,11.5,73,amc matador,True,False,False,0.04084967320261438,0.02631578947368421,0.4934210526315789,2.0547945205479454
13.0,8,350.0,145,3988,13.0,73,chevrolet malibu,True,False,False,0.03635907723169508,0.022857142857142857,0.4142857142857143,1.9863013698630136
14.0,8,302.0,137,4042,14.5,73,ford gran torino,True,False,False,0.0338941118258288,0.026490066225165563,0.45364238410596025,1.8767123287671232
15.0,8,318.0,150,3777,12.5,73,dodge coronet custom,True,False,False,0.03971405877680699,0.025157232704402517,0.4716981132075472,2.0547945205479454
12.0,8,429.0,198,4952,11.5,73,mercury marquis brougham,True,False,False,0.03998384491114701,0.018648018648018648,0.46153846153846156,2.712328767123288
13.0,8,400.0,150,4464,12.0,73,chevrolet caprice classic,True,False,False,0.033602150537634407,0.02,0.375,2.0547945205479454
13.0,8,351.0,158,4363,13.0,73,ford ltd,True,False,False,0.03621361448544579,0.022792022792022793,0.45014245014245013,2.164383561643836
14.0,8,318.0,150,4237,14.5,73,plymouth fury gran sedan,True,False,False,0.03540240736370073,0.025157232704402517,0.4716981132075472,2.0547945205479454
13.0,8,440.0,215,4735,11.0,73,chrysler new yorker brougham,True,False,False,0.0454065469904963,0.01818181818181818,0.48863636363636365,2.9452054794520546
12.0,8,455.0,225,4951,11.0,73,buick electra 225 custom,True,False,False,0.045445364572813576,0.017582417582417582,0.4945054945054945,3.0821917808219177
13.0,8,360.0,175,3821,11.0,73,amc ambassador brougham,True,False,False,0.04579952891913112,0.022222222222222223,0.4861111111111111,2.3972602739726026
18.0,6,225.0,105,3121,16.5,73,plymouth valiant,True,False,False,0.03364306312079462,0.02666666666666667,0.4666666666666667,1.4383561643835616
16.0,6,250.0,100,3278,18.0,73,chevrolet nova custom,True,False,False,0.03050640634533252,0.024,0.4,1.36986301369863
18.0,6,232.0,100,2945,16.0,73,amc hornet,True,False,False,0.03395585738539898,0.02586206896551724,0.43103448275862066,1.36986301369863
18.0,6,250.0,88,3021,16.5,73,ford maverick,True,False,False,0.029129427341939754,0.024,0.352,1.2054794520547945
23.0,6,198.0,95,2904,16.0,73,plymouth duster,True,False,False,0.03271349862258953,0.030303030303030304,0.4797979797979798,1.3013698630136987
26.0,4,97.0,46,1950,21.0,73,volkswagen super beetle,False,True,False,0.02358974358974359,0.041237113402061855,0.4742268041237113,0.6301369863013698
11.0,8,400.0,150,4997,14.0,73,chevrolet impala,True,False,False,0.03001801080648389,0.02,0.375,2.0547945205479454
12.0,8,400.0,167,4906,12.5,73,ford country,True,False,False,0.03403995108030983,0.02,0.4175,2.287671232876712
13.0,8,360.0,170,4654,13.0,73,plymouth custom suburb,True,False,False,0.0365277180919639,0.022222222222222223,0.4722222222222222,2.328767123287671
12.0,8,350.0,180,4499,12.5,73,oldsmobile vista cruiser,True,False,False,0.04000889086463658,0.022857142857142857,0.5142857142857142,2.4657534246575343
18.0,6,232.0,100,2789,15.0,73,amc gremlin,True,False,False,0.035855145213338116,0.02586206896551724,0.43103448275862066,1.36986301369863
20.0,4,97.0,88,2279,19.0,73,toyota carina,False,False,True,0.03861342694164107,0.041237113402061855,0.9072164948453608,1.2054794520547945
21.0,4,140.0,72,2401,19.5,73,chevrolet vega,True,False,False,0.029987505206164097,0.02857142857142857,0.5142857142857142,0.9863013698630136
22.0,4,108.0,94,2379,16.5,73,datsun 610,False,False,True,0.039512400168137875,0.037037037037037035,0.8703703703703703,1.2876712328767124
19.0,4,122.0,85,2310,18.5,73,ford pinto,True,False,False,0.0367965367965368,0.03278688524590164,0.6967213114754098,1.1643835616438356
21.0,6,155.0,107,2472,14.0,73,mercury capri v6,True,False,False,0.043284789644012944,0.03870967741935484,0.6903225806451613,1.4657534246575343
26.0,4,98.0,90,2265,15.5,73,fiat 124 sport coupe,False,True,False,0.039735099337748346,0.04081632653061224,0.9183673469387755,1.2328767123287672
15.0,8,350.0,145,4082,13.0,73,chevrolet monte carlo s,True,False,False,0.035521803037726604,0.022857142857142857,0.4142857142857143,1.9863013698630136
16.0,8,400.0,230,4278,9.5,73,pontiac grand prix,True,False,False,0.053763440860215055,0.02,0.575,3.1506849315068495
29.0,4,68.0,49,1867,19.5,73,fiat 128,False,True,False,0.026245313336904125,0.058823529411764705,0.7205882352941176,0.6712328767123288
24.0,4,116.0,75,2158,15.5,73,opel manta,False,True,False,0.03475440222428174,0.034482758620689655,0.646551724137931,1.0273972602739727
20.0,4,114.0,91,2582,14.0,73,audi 100ls,False,True,False,0.03524399690162665,0.03508771929824561,0.7982456140350878,1.2465753424657535
19.0,4,121.0,112,2868,15.5,73,volvo 144ea,False,True,False,0.03905160390516039,0.03305785123966942,0.9256198347107438,1.5342465753424657
15.0,8,318.0,150,3399,11.0,73,dodge dart custom,True,False,False,0.0441306266548985,0.025157232704402517,0.4716981132075472,2.0547945205479454
24.0,4,121.0,110,2660,14.0,73,saab 99le,False,True,False,0.041353383458646614,0.03305785123966942,0.9090909090909091,1.5068493150684932
11.0,8,350.0,180,3664,11.0,73,oldsmobile omega,True,False,False,0.04912663755458515,0.022857142857142857,0.5142857142857142,2.4657534246575343
20.0,6,198.0,95,3102,16.5,74,plymouth duster,True,False,False,0.030625402965828497,0.030303030303030304,0.4797979797979798,1.2837837837837838
19.0,6,232.0,100,2901,16.0,74,amc hornet,True,False,False,0.03447087211306446,0.02586206896551724,0.43103448275862066,1.3513513513513513
15.0,6,250.0,100,3336,17.0,74,chevrolet nova,True,False,False,0.02997601918465228,0.024,0.4,1.3513513513513513
31.0,4,79.0,67,1950,19.0,74,datsun b210,False,False,True,0.03435897435897436,0.05063291139240506,0.8481012658227848,0.9054054054054054
26.0,4,122.0,80,2451,16.5,74,ford pinto,True,False,False,0.032639738882088945,0.03278688524590164,0.6557377049180327,1.0810810810810811
32.0,4,71.0,65,1836,21.0,74,toyota corolla 1200,False,False,True,0.03540305010893246,0.056338028169014086,0.9154929577464789,0.8783783783783784
25.0,4,140.0,75,2542,17.0,74,chevrolet vega,True,False,False,0.029504327301337528,0.02857142857142857,0.5357142857142857,1.0135135135135136
16.0,6,250.0,100,3781,17.0,74,chevrolet chevelle malibu classic,True,False,False,0.026448029621793177,0.024,0.4,1.3513513513513513
16.0,6,258.0,110,3632,18.0,74,amc matador,True,False,False,0.0302863436123348,0.023255813953488372,0.4263565891472868,1.4864864864864864
18.0,6,225.0,105,3613,16.5,74,plymouth satellite sebring,True,False,False,0.029061721561029614,0.02666666666666667,0.4666666666666667,1.4189189189189189
16.0,8,302.0,140,4141,14.0,74,ford gran torino,True,False,False,0.03380825887466796,0.026490066225165563,0.46357615894039733,1.8918918918918919
13.0,8,350.0,150,4699,14.5,74,buick century luxus (sw),True,False,False,0.03192168546499255,0.022857142857142857,0.42857142857142855,2.027027027027027
14.0,8,318.0,150,4457,13.5,74,dodge coronet custom (sw),True,False,False,0.03365492483733453,0.025157232704402517,0.4716981132075472,2.027027027027027
14.0,8,302.0,140,4638,16.0,74,ford gran torino (sw),True,False,False,0.030185424752048298,0.026490066225165563,0.46357615894039733,1.8918918918918919
14.0,8,304.0,150,4257,15.5,74,amc matador (sw),True,False,False,0.035236081747709654,0.02631578947368421,0.4934210526315789,2.027027027027027
29.0,4,98.0,83,2219,16.5,74,audi fox,False,True,False,0.03740423614240649,0.04081632653061224,0.8469387755102041,1.1216216216216217
26.0,4,79.0,67,1963,15.5,74,volkswagen dasher,False,True,False,0.03413143148242486,0.05063291139240506,0.8481012658227848,0.9054054054054054
26.0,4,97.0,78,2300,14.5,74,opel manta,False,True,False,0.03391304347826087,0.041237113402061855,0.8041237113402062,1.054054054054054
31.0,4,76.0,52,1649,16.5,74,toyota corona,False,False,True,0.031534263189812006,0.05263157894736842,0.6842105263157895,0.7027027027027027
32.0,4,83.0,61,2003,19.0,74,datsun 710,False,False,True,0.030454318522216674,0.04819277108433735,0.7349397590361446,0.8243243243243243
28.0,4,90.0,75,2125,14.5,74,dodge colt,True,False,False,0.03529411764705882,0.044444444444444446,0.8333333333333334,1.0135135135135136
24.0,4,90.0,75,2108,15.5,74,fiat 128,False,True,False,0.03557874762808349,0.044444444444444446,0.8333333333333334,1.0135135135135136
26.0,4,116.0,75,2246,14.0,74,fiat 124 tc,False,True,False,0.033392698130008905,0.034482758620689655,0.646551724137931,1.0135135135135136
24.0,4,120.0,97,2489,15.0,74,honda civic,False,False,True,0.038971474487746086,0.03333333333333333,0.8083333333333333,1.3108108108108107
26.0,4,108.0,93,2391,15.5,74,subaru,False,False,True,0.03889585947302384,0.037037037037037035,0.8611111111111112,1.2567567567567568
31.0,4,79.0,67,2000,16.0,74,fiat x1.9,False,True,False,0.0335,0.05063291139240506,0.8481012658227848,0.9054054054054054
19.0,6,225.0,95,3264,16.0,75,plymouth valiant custom,True,False,False,0.029105392156862746,0.02666666666666667,0.4222222222222222,1.2666666666666666
18.0,6,250.0,105,3459,16.0,75,chevrolet nova,True,False,False,0.030355594102341718,0.024,0.42,1.4
15.0,6,250.0,72,3432,21.0,75,mercury monarch,True,False,False,0.02097902097902098,0.024,0.288,0.96
15.0,6,250.0,72,3158,19.5,75,ford maverick,True,False,False,0.022799240025332488,0.024,0.288,0.96
16.0,8,400.0,170,4668,11.5,75,pontiac catalina,True,False,False,0.03641816623821765,0.02,0.425,2.2666666666666666
15.0,8,350.0,145,4440,14.0,75,chevrolet bel air,True,False,False,0.03265765765765766,0.022857142857142857,0.4142857142857143,1.9333333333333333
16.0,8,318.0,150,4498,14.5,75,plymouth grand fury,True,False,False,0.03334815473543797,0.025157232704402517,0.4716981132075472,2.0
14.0,8,351.0,148,4657,13.5,75,ford ltd,True,False,False,0.031780115954477134,0.022792022792022793,0.42165242165242167,1.9733333333333334
17.0,6,231.0,110,3907,21.0,75,buick century,True,False,False,0.028154594317890965,0.025974025974025976,0.47619047619047616,1.4666666666666666
16.0,6,250.0,105,3897,18.5,75,chevroelt chevelle malibu,True,False,False,0.026943802925327175,0.024,0.42,1.4
15.0,6,258.0,110,3730,19.0,75,amc matador,True,False,False,0.029490616621983913,0.023255813953488372,0.4263565891472868,1.4666666666666666
18.0,6,225.0,95,3785,19.0,75,plymouth fury,True,False,False,0.02509907529722589,0.02666666666666667,0.4222222222222222,1.2666666666666666
21.0,6,231.0,110,3039,15.0,75,buick skyhawk,True,False,False,0.0361961171437973,0.025974025974025976,0.47619047619047616,1.4666666666666666
20.0,8,262.0,110,3221,13.5,75,chevrolet monza 2+2,True,False,False,0.034150884818379384,0.030534351145038167,0.4198473282442748,1.4666666666666666
13.0,8,302.0,129,3169,12.0,75,ford mustang ii,True,False,False,0.04070684758598927,0.026490066225165563,0.4271523178807947,1.72
29.0,4,97.0,75,2171,16.0,75,toyota corolla,False,False,True,0.03454629203132197,0.041237113402061855,0.7731958762886598,1.0
23.0,4,140.0,83,2639,17.0,75,ford pinto,True,False,False,0.03145130731337628,0.02857142857142857,0.5928571428571429,1.1066666666666667
20.0,6,232.0,100,2914,16.0,75,amc gremlin,True,False,False,0.03431708991077557,0.02586206896551724,0.43103448275862066,1.3333333333333333
23.0,4,140.0,78,2592,18.5,75,pontiac astro,True,False,False,0.03009259259259259,0.02857142857142857,0.5571428571428572,1.04
24.0,4,134.0,96,2702,13.5,75,toyota corona,False,False,True,0.03552923760177646,0.029850746268656716,0.7164179104477612,1.28
25.0,4,90.0,71,2223,16.5,75,volkswagen dasher,False,True,False,0.031938821412505626,0.044444444444444446,0.7888888888888889,0.9466666666666667
24.0,4,119.0,97,2545,17.0,75,datsun 710,False,False,True,0.0381139489194499,0.03361344537815126,0.8151260504201681,1.2933333333333332
18.0,6,171.0,97,2984,14.5,75,ford pinto,True,False,False,0.032506702412868634,0.03508771929824561,0.5672514619883041,1.2933333333333332
29.0,4,90.0,70,1937,14.0,75,volkswagen rabbit,False,True,False,0.036138358286009295,0.044444444444444446,0.7777777777777778,0.9333333333333333
19.0,6,232.0,90,3211,17.0,75,amc pacer,True,False,False,0.02802865151043289,0.02586206896551724,0.3879310344827586,1.2
23.0,4,115.0,95,2694,15.0,75,audi 100ls,False,True,False,0.03526354862657758,0.034782608695652174,0.8260869565217391,1.2666666666666666
23.0,4,120.0,88,2957,17.0,75,peugeot 504,False,True,False,0.029759891782211702,0.03333333333333333,0.7333333333333333,1.1733333333333333
22.0,4,121.0,98,2945,14.5,75,volvo 244dl,False,True,False,0.033276740237691005,0.03305785123966942,0.8099173553719008,1.3066666666666666
25.0,4,121.0,115,2671,13.5,75,saab 99le,False,True,False,0.0430550355672033,0.03305785123966942,0.9504132231404959,1.5333333333333334
33.0,4,91.0,53,1795,17.5,75,honda civic cvcc,False,False,True,0.029526462395543174,0.04395604395604396,0.5824175824175825,0.7066666666666667
28.0,4,107.0,86,2464,15.5,76,fiat 131,False,True,False,0.0349025974025974,0.037383177570093455,0.8037383177570093,1.131578947368421
25.0,4,116.0,81,2220,16.9,76,opel 1900,False,True,False,0.03648648648648649,0.034482758620689655,0.6982758620689655,1.0657894736842106
25.0,4,140.0,92,2572,14.9,76,capri ii,True,False,False,0.03576982892690513,0.02857142857142857,0.6571428571428571,1.2105263157894737
26.0,4,98.0,79,2255,17.7,76,dodge colt,True,False,False,0.03503325942350333,0.04081632653061224,0.8061224489795918,1.0394736842105263
27.0,4,101.0,83,2202,15.3,76,renault 12tl,False,True,False,0.037693006357856496,0.039603960396039604,0.8217821782178217,1.0921052631578947
17.5,8,305.0,140,4215,13.0,76,chevrolet chevelle malibu classic,True,False,False,0.033214709371293,0.02622950819672131,0.45901639344262296,1.8421052631578947
16.0,8,318.0,150,4190,13.0,76,dodge coronet brougham,True,False,False,0.03579952267303103,0.025157232704402517,0.4716981132075472,1.9736842105263157
15.5,8,304.0,120,3962,13.9,76,amc matador,True,False,False,0.03028773346794548,0.02631578947368421,0.39473684210526316,1.5789473684210527
14.5,8,351.0,152,4215,12.8,76,ford gran torino,True,False,False,0.03606168446026097,0.022792022792022793,0.43304843304843305,2.0
22.0,6,225.0,100,3233,15.4,76,plymouth valiant,True,False,False,0.03093102381688834,0.02666666666666667,0.4444444444444444,1.3157894736842106
22.0,6,250.0,105,3353,14.5,76,chevrolet nova,True,False,False,0.031315240083507306,0.024,0.42,1.381578947368421
24.0,6,200.0,81,3012,17.6,76,ford maverick,True,False,False,0.026892430278884463,0.03,0.405,1.0657894736842106
22.5,6,232.0,90,3085,17.6,76,amc hornet,True,False,False,0.029173419773095625,0.02586206896551724,0.3879310344827586,1.1842105263157894
29.0,4,85.0,52,2035,22.2,76,chevrolet chevette,True,False,False,0.025552825552825554,0.047058823529411764,0.611764705882353,0.6842105263157895
24.5,4,98.0,60,2164,22.1,76,chevrolet woody,True,False,False,0.027726432532347505,0.04081632653061224,0.6122448979591837,0.7894736842105263
29.0,4,90.0,70,1937,14.2,76,vw rabbit,False,True,False,0.036138358286009295,0.044444444444444446,0.7777777777777778,0.9210526315789473
33.0,4,91.0,53,1795,17.4,76,honda civic,False,False,True,0.029526462395543174,0.04395604395604396,0.5824175824175825,0.6973684210526315
20.0,6,225.0,100,3651,17.7,76,dodge aspen se,True,False,False,0.027389756231169543,0.02666666666666667,0.4444444444444444,1.3157894736842106
18.0,6,250.0,78,3574,21.0,76,ford granada ghia,True,False,False,0.02182428651371013,0.024,0.312,1.0263157894736843
18.5,6,250.0,110,3645,16.2,76,pontiac ventura sj,True,False,False,0.03017832647462277,0.024,0.44,1.4473684210526316
17.5,6,258.0,95,3193,17.8,76,amc pacer d/l,True,False,False,0.029752583777012214,0.023255813953488372,0.3682170542635659,1.25
29.5,4,97.0,71,1825,12.2,76,volkswagen rabbit,False,True,False,0.03890410958904109,0.041237113402061855,0.7319587628865979,0.9342105263157895
